OBJECTID,BLKGRP,BLOCK,GEOID,GEOID10,ALAND10,AWATER10,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,OP000001,OP000002,OP000003,OP000004,P0020002,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,OP00005,OP00006,OP00007,OP00008,P0030001,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,OP00009,OP00010,OP00011,OP00012,P0040002,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,OP000013,OP000014,OP000015,OP000016,H0010001,H0010002,H0010003,ACRES,Shape_Length,Shape_Area,SqMiles
3667,0068022,2013,110010068022013,110010068022013,16418,0,108,126,59,61,0,4,0,2,1,0,2,0,5,57,61,0,4,0,0,1,0,2,0,115,54,53,0,2,0,2,1,0,2,0,5,52,53,0,2,0,0,1,0,2,0,50,55,0,4.168923,763.324435,16871.03087,0.006514
3668,0068022,2014,110010068022014,110010068022014,11922,0,96,96,29,61,0,6,0,0,0,0,0,0,4,25,61,0,6,0,0,0,0,0,0,85,25,54,0,6,0,0,0,0,0,0,4,21,54,0,6,0,0,0,0,0,0,31,30,1,2.945686,457.171956,11920.766545,0.004603
3669,0068022,2015,110010068022015,110010068022015,13813,0,115,112,65,39,0,7,0,1,3,3,0,0,6,61,38,0,7,0,0,3,3,0,0,92,51,31,0,6,0,1,3,3,0,0,5,47,31,0,6,0,0,3,3,0,0,45,44,1,3.412935,485.681449,13811.658178,0.005333
3670,0068041,1000,110010068041000,110010068041000,0,60161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.835895,1809.138876,60038.735893,0.023181
3671,0068041,1001,110010068041001,110010068041001,284070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.710847,4385.433044,282109.787959,0.108923
3672,0068041,1002,110010068041002,110010068041002,157890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.963701,2145.893139,157680.502678,0.060881
3673,0068041,1003,110010068041003,110010068041003,24651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.090724,988.636868,24648.28572,0.009517
3674,0068041,1004,110010068041004,110010068041004,59286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.648376,957.984162,59279.875345,0.022888
3675,0068041,1005,110010068041005,110010068041005,5237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293844,576.173979,5236.002118,0.002022
3676,0068041,1006,110010068041006,110010068041006,58780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.523529,1010.505638,58774.63694,0.022693
