OBJECTID,LICENSE,APPLICANT,TRADE_NAME,ENDORSEMENTS,DESCRIPTIO,CLASS,ADDRESS,ADDRID,BREW_PUB,ENTERTAINMENT,SALES_CONSUMPTION,SIDEWALK_CAFE,SUMMER_GARDEN,TASTING,WINE_PUB,STATUS,TYPE,X,Y,WARD,ZIPCODE
315,ABRA-099210,"Neighborhood Restaurant Group XXIII, LLC",EatBar,,Restaurant,C,413 8TH STREET SE,149575,,,,,,,,Active,Restaurant,400412.98,135046.02,Ward 6,20003
316,ABRA-099603,"1336 U Street, LLC",Hawthorne,,Tavern,C,1336 U STREET NW,240381,,CHECKED,,,CHECKED,,,About to Expire,Tavern,397307.48,138771.9,Ward 1,20009
317,ABRA-099470,"Hewan, Inc.",Benning Heights Market,,Retail - Grocery,B,547 42ND STREET NE,8635,,,,,,,,Active,Retail - Grocery,405002.17,136614.83,Ward 7,20019
318,ABRA-100236,"A Little Mouthful, LLC","Red, White and Basil",,Restaurant,D,1781 FLORIDA AVENUE NW,279382,,,,CHECKED,,,,Issued,Restaurant,396453.6,138846.56,Ward 1,20009
319,ABRA-102521,"District Still, LLC",District Still,,Retail - Liquor Store,A,175 R STREET NE,300028,,,,,,CHECKED,,Active,Retail - Liquor Store,399642.96,138283.29,Ward 5,20002
320,ABRA-099229,In Stereo LLC,Trade,,Tavern,C,1410 14TH STREET NW,240217,,CHECKED,,,CHECKED,,,About to Expire,Tavern,397200.35,137935.27,Ward 2,20005
321,ABRA-099454,"Seldar Dc Holding, LLC",St. Regis Hotel,,Hotel,C,923 16TH STREET NW,242334,,CHECKED,,,,,,Issued,Hotel,396868.95,137139.51,Ward 2,20006
322,ABRA-100517,"PFM Restaurants, LLC",District Anchor,,Nightclub,C,1900 M STREET NW,243290,,,,CHECKED,,,,About to Expire,Nightclub,396194.9,137501.31,Ward 2,20036
323,ABRA-100266,Latitude 38 LLC,Archipelago,,Restaurant,C,1201 U STREET NW,285496,,CHECKED,,CHECKED,,,,Active,Restaurant,397544.59,138814.2,Ward 1,20009
324,ABRA-099889,"Prospect DC, LLC",Prospect DC,,Restaurant,C,1214 U STREET NW,218057,,CHECKED,,,CHECKED,,,Active,Restaurant,397516.01,138770.13,Ward 1,20009
325,ABRA-099920,"MJC of Rok, Inc.",Stop & Shop Liquors,,Retail - Liquor Store,A,3011 RHODE ISLAND AVENUE NE,287376,,,,,,CHECKED,,Active,Retail - Liquor Store,402971.44,140658.5,Ward 5,20018
326,ABRA-099805,"1831 M, LLC",1831,,Tavern,C,1831 M STREET NW,241273,,CHECKED,,CHECKED,,,,About to Expire,Tavern,396271.09,137561.7,Ward 2,20036
327,ABRA-100950,MB LLC,Bodega,,Retail - Grocery,B,2409 FRANKLIN STREET NE,47576,,,,,,,,Active,Retail - Grocery,402464.45,139720.13,Ward 5,20018
328,ABRA-100279,"NazcaMochica Restaurant, LLC",Nazca Restaurant/ Mochica Restaurant,,Restaurant,C,1633 P STREET NW,225835,,CHECKED,,,,,,Active,Restaurant,396706.52,138002.11,Ward 2,20036
329,ABRA-101261,"GoBrands, Inc.",Go Puff - Rive,,Retail - Liquor Store,A,3401 WATER STREET NW,309367,,,,,,,,Active,Retail - Liquor Store,394092.21,137366.94,Ward 2,20007
330,ABRA-075871,"Acott Ventures, LLC",Shadow Room,,Nightclub,C,2131 K STREET NW,242483,,,,,,,,About to Expire,Nightclub,395865.47,137227.39,Ward 2,20037
331,ABRA-075875,Ku-Washington Corporation,Sichuan Pavilion,,Restaurant,C,1814 K STREET NW,307943,,,,,,,,Active,Restaurant,396307.09,137153.04,Ward 2,20006
332,ABRA-075915,"Hamilton Restaurant Group, Inc.",Hamilton's Bar & Grill,,Tavern,C,233 2ND STREET NW,279585,,CHECKED,,,CHECKED,,,About to Expire,Tavern,398833.93,136156.67,Ward 6,20001
333,ABRA-075944,"Oyamel DC, LLC",Oyamel,,Restaurant,C,401 7TH STREET NW,279733,,CHECKED,,CHECKED,,,,Active,Restaurant,398120.39,136344.06,Ward 2,20004
